IFMAP SRAM Size,	Filter SRAM Size,	OFMAP SRAM Size,	Conv Layer Num,	DRAM IFMAP Read BW,	DRAM Filter Read BW,	DRAM OFMAP Write BW,	SRAM Read BW,	SRAM OFMAP Write BW, 
524288,	524288,	524288,	Conv1,	1.3574671750029572,	0.08560431661222373,	6.918808746053266,	32.23728628492916,	6.918808746053266,
524288,	524288,	524288,	CB2a_1,	4.624089945627131,	0.094369182563819,	4.624089945627131,	9.321882775781035,	4.624089945627131,
524288,	524288,	524288,	CB2a_2,	3.0722507959833454,	0.5642909625275533,	2.8567229977957385,	52.074439750183686,	2.8567229977957385,
524288,	524288,	524288,	CB2a_3,	1.8468616859753573,	0.15076421926329447,	7.387446743901429,	14.890902063990136,	7.387446743901429,
524288,	524288,	524288,	CB2s,	1.8468616859753573,	0.15076421926329447,	7.387446743901429,	14.890902063990136,	7.387446743901429,
524288,	524288,	524288,	IB2b_1,	9.426042033579899,	0.19236820476693672,	2.3565105083949747,	19.00010567101092,	2.3565105083949747,
524288,	524288,	524288,	IB2b_2,	3.0722507959833454,	0.5642909625275533,	2.8567229977957385,	52.074439750183686,	2.8567229977957385,
524288,	524288,	524288,	IB2b_3,	1.8468616859753573,	0.15076421926329447,	7.387446743901429,	14.890902063990136,	7.387446743901429,
524288,	524288,	524288,	IB2c_1,	9.426042033579899,	0.19236820476693672,	2.3565105083949747,	19.00010567101092,	2.3565105083949747,
524288,	524288,	524288,	IB2c_2,	3.0722507959833454,	0.5642909625275533,	2.8567229977957385,	52.074439750183686,	2.8567229977957385,
524288,	524288,	524288,	IB2c_3,	1.8468616859753573,	0.15076421926329447,	7.387446743901429,	14.890902063990136,	7.387446743901429,
524288,	524288,	524288,	CB3a_1,	5.450062455873567,	0.8898061152446641,	2.7250312279367837,	22.65005702492804,	2.7250312279367837,
524288,	524288,	524288,	CB3a_2,	2.0561406384460925,	3.021267876900381,	1.772896774986682,	65.6666598369053,	1.772896774986682,
524288,	524288,	524288,	CB3a_3,	1.5812927421133907,	1.032680974441398,	6.325170968453563,	26.285950647631655,	6.325170968453563,
524288,	524288,	524288,	CB3s,	2.312018339112304,	1.5098895275835456,	4.624036678224608,	38.43213261297792,	4.624036678224608,
524288,	524288,	524288,	IB3b_1,	6.316213494461229,	1.0312185297079557,	1.5790533736153072,	26.248725453172206,	1.5790533736153072,
524288,	524288,	524288,	IB3b_2,	2.0561406384460925,	3.021267876900381,	1.772896774986682,	65.6666598369053,	1.772896774986682,
524288,	524288,	524288,	IB3b_3,	1.5812927421133907,	1.032680974441398,	6.325170968453563,	26.285950647631655,	6.325170968453563,
524288,	524288,	524288,	IB3c_1,	6.316213494461229,	1.0312185297079557,	1.5790533736153072,	26.248725453172206,	1.5790533736153072,
524288,	524288,	524288,	IB3c_2,	2.0561406384460925,	3.021267876900381,	1.772896774986682,	65.6666598369053,	1.772896774986682,
524288,	524288,	524288,	IB3c_3,	1.5812927421133907,	1.032680974441398,	6.325170968453563,	26.285950647631655,	6.325170968453563,
524288,	524288,	524288,	IB3d_1,	6.316213494461229,	1.0312185297079557,	1.5790533736153072,	26.248725453172206,	1.5790533736153072,
524288,	524288,	524288,	IB3d_2,	2.0561406384460925,	3.021267876900381,	1.772896774986682,	65.6666598369053,	1.772896774986682,
524288,	524288,	524288,	IB3d_3,	1.5812927421133907,	1.032680974441398,	6.325170968453563,	26.285950647631655,	6.325170968453563,
524288,	524288,	524288,	CB4a_1,	3.8048151658767773,	4.969554502369668,	1.9024075829383886,	35.41046445497631,	1.9024075829383886,
524288,	524288,	524288,	CB4a_2,	0.5987803859326706,	8.01632516677208,	0.4399202835423702,	37.283995847106695,	0.4399202835423702,
524288,	524288,	524288,	CB4a_3,	0.8003700690689254,	4.18152525880908,	3.2014802762757015,	29.79437239795186,	3.2014802762757015,
524288,	524288,	524288,	CB4s,	0.9531100114921787,	4.979513529428525,	1.9062200229843573,	35.479632250282556,	1.9062200229843573,
524288,	524288,	524288,	IB4b_1,	4.209925745689475,	5.498678524982171,	1.0524814364223687,	39.1794059655158,	1.0524814364223687,
524288,	524288,	524288,	IB4b_2,	0.5987803859326706,	8.01632516677208,	0.4399202835423702,	37.283995847106695,	0.4399202835423702,
524288,	524288,	524288,	IB4b_3,	0.8003700690689254,	4.18152525880908,	3.2014802762757015,	29.79437239795186,	3.2014802762757015,
524288,	524288,	524288,	IB4c_1,	4.209925745689475,	5.498678524982171,	1.0524814364223687,	39.1794059655158,	1.0524814364223687,
524288,	524288,	524288,	IB4c_2,	0.5987803859326706,	8.01632516677208,	0.4399202835423702,	37.283995847106695,	0.4399202835423702,
524288,	524288,	524288,	IB4c_3,	0.8003700690689254,	4.18152525880908,	3.2014802762757015,	29.79437239795186,	3.2014802762757015,
524288,	524288,	524288,	IB4d_1,	4.209925745689475,	5.498678524982171,	1.0524814364223687,	39.1794059655158,	1.0524814364223687,
524288,	524288,	524288,	IB4d_2,	0.5987803859326706,	8.01632516677208,	0.4399202835423702,	37.283995847106695,	0.4399202835423702,
524288,	524288,	524288,	IB4d_3,	0.8003700690689254,	4.18152525880908,	3.2014802762757015,	29.79437239795186,	3.2014802762757015,
524288,	524288,	524288,	IB4e_1,	4.209925745689475,	5.498678524982171,	1.0524814364223687,	39.1794059655158,	1.0524814364223687,
524288,	524288,	524288,	IB4e_2,	0.5987803859326706,	8.01632516677208,	0.4399202835423702,	37.283995847106695,	0.4399202835423702,
524288,	524288,	524288,	IB4e_3,	0.8003700690689254,	4.18152525880908,	3.2014802762757015,	29.79437239795186,	3.2014802762757015,
524288,	524288,	524288,	IB4f_1,	4.209925745689475,	5.498678524982171,	1.0524814364223687,	39.1794059655158,	1.0524814364223687,
524288,	524288,	524288,	IB4f_2,	0.5987803859326706,	8.01632516677208,	0.4399202835423702,	37.283995847106695,	0.4399202835423702,
524288,	524288,	524288,	IB4f_3,	0.8003700690689254,	4.18152525880908,	3.2014802762757015,	29.79437239795186,	3.2014802762757015,
524288,	524288,	524288,	RPN_Conv1,	0.7143533398111468,	50.38377841606783,	0.26241551258368656,	88.95908299787513,	0.26241551258368656,
524288,	524288,	524288,	RPN_Conv_bbox,	7.822887433738696,	1.4368568755846585,	0.5500467726847521,	13.732694106641722,	0.5500467726847521,
524288,	524288,	524288,	RPN_Conv3_cls,	8.05587220036927,	0.7398249979930962,	0.28321425704423214,	11.180942442000482,	0.28321425704423214,
